PANTONE Coated
1	PANTONE Yellow 012 C	87.750	3.374	114.447
2	PANTONE Process Yellow C	90.693	-5.968	99.650
3	PANTONE Process Magenta C	47.802	76.405	-3.257
4	PANTONE Process Cyan C	58.273	-35.129	-49.887
5	PANTONE Process Black C	11.579	0.391	-0.615
6	PANTONE Hexachrome Yellow C	91.033	-2.627	99.203
7	PANTONE Hexachrome Orange C	70.427	51.546	79.925
8	PANTONE Hexachrome Magenta C	50.455	82.457	-16.321
9	PANTONE Hexachrome Cyan C	51.940	-34.226	-54.182
10	PANTONE Hexachrome Green C	60.841	-76.762	34.882
11	PANTONE Hexachrome Black C	13.841	-0.055	-0.788
12	PANTONE 100 C	92.795	-8.395	52.936
13	PANTONE 101 C	92.486	-9.050	65.684
14	PANTONE 102 C	91.097	-7.405	100.404
15	PANTONE Yellow C	89.546	-3.217	112.359
16	PANTONE 103 C	71.142	-1.357	86.925
17	PANTONE 104 C	64.046	-2.082	72.138
18	PANTONE 105 C	51.767	-2.293	44.836
19	PANTONE 106 C	91.254	-5.740	69.425
20	PANTONE 107 C	90.128	-3.821	81.979
21	PANTONE 108 C	88.148	0.798	95.284
22	PANTONE 109 C	86.512	4.896	97.140
23	PANTONE 110 C	72.348	7.469	89.938
24	PANTONE 111 C	60.230	3.206	71.048
25	PANTONE 112 C	55.006	1.083	58.776
26	PANTONE 113 C	90.047	-2.586	69.115
27	PANTONE 114 C	89.448	-1.062	73.293
28	PANTONE 115 C	89.135	0.430	73.524
29	PANTONE 116 C	85.113	8.811	90.771
30	PANTONE 117 C	66.690	9.597	81.307
31	PANTONE 118 C	58.930	7.334	70.385
32	PANTONE 119 C	49.508	0.954	45.300
33	PANTONE 120 C	89.520	0.642	54.838
34	PANTONE 121 C	88.712	2.542	59.565
35	PANTONE 122 C	87.121	5.843	65.943
36	PANTONE 123 C	84.851	10.806	75.586
37	PANTONE 124 C	75.524	15.928	81.131
38	PANTONE 125 C	61.562	10.967	67.456
39	PANTONE 126 C	55.242	7.086	56.263
40	PANTONE 1205 C	90.832	0.573	36.485
41	PANTONE 1215 C	89.261	2.968	46.607
42	PANTONE 1225 C	84.899	12.029	64.254
43	PANTONE 1235 C	80.469	21.803	78.110
44	PANTONE 1245 C	64.452	13.404	63.624
45	PANTONE 1255 C	57.946	9.322	53.281
46	PANTONE 1265 C	45.784	6.629	41.458
47	PANTONE 127 C	89.277	-2.340	51.653
48	PANTONE 128 C	86.941	0.599	64.205
49	PANTONE 129 C	85.035	4.059	67.102
50	PANTONE 130 C	75.695	20.515	84.476
51	PANTONE 131 C	64.502	19.082	75.851
52	PANTONE 132 C	53.528	11.241	59.731
53	PANTONE 133 C	38.514	4.048	36.384
54	PANTONE 134 C	87.427	6.738	48.788
55	PANTONE 135 C	83.954	14.116	61.855
56	PANTONE 136 C	81.766	19.394	68.702
57	PANTONE 137 C	76.064	32.505	83.003
58	PANTONE 138 C	63.333	35.696	79.095
59	PANTONE 139 C	53.689	22.053	61.984
60	PANTONE 140 C	38.782	10.065	37.636
61	PANTONE 1345 C	87.048	10.258	38.216
62	PANTONE 1355 C	84.622	15.260	46.229
63	PANTONE 1365 C	80.748	23.337	58.879
64	PANTONE 1375 C	75.897	33.724	68.733
65	PANTONE 1385 C	60.475	33.946	69.590
66	PANTONE 1395 C	47.146	20.833	49.288
67	PANTONE 1405 C	33.805	11.799	31.209
68	PANTONE 141 C	83.952	5.954	51.993
69	PANTONE 142 C	80.251	11.671	61.425
70	PANTONE 143 C	76.642	17.863	67.207
71	PANTONE 144 C	66.007	37.583	75.302
72	PANTONE 145 C	59.144	30.556	67.834
73	PANTONE 146 C	48.396	20.672	53.723
74	PANTONE 147 C	41.086	4.631	29.564
75	PANTONE 148 C	86.714	11.491	32.357
76	PANTONE 149 C	84.260	16.562	39.044
77	PANTONE 150 C	78.688	28.024	52.715
78	PANTONE 151 C	68.080	50.876	79.464
79	PANTONE 152 C	61.437	42.483	70.237
80	PANTONE 153 C	54.138	31.786	57.263
81	PANTONE 154 C	43.735	25.375	46.064
82	PANTONE 1485 C	80.702	27.575	43.115
83	PANTONE 1495 C	74.150	41.843	65.950
84	PANTONE 1505 C	67.232	56.203	87.304
85	PANTONE Orange 021 C	62.846	62.783	85.122
86	PANTONE 1525 C	50.434	47.336	65.177
87	PANTONE 1535 C	39.220	32.118	44.874
88	PANTONE 1545 C	24.013	17.115	22.589
89	PANTONE 155 C	87.244	4.814	22.904
90	PANTONE 156 C	81.341	12.538	35.099
91	PANTONE 157 C	71.410	28.323	51.138
92	PANTONE 158 C	62.170	44.888	60.585
93	PANTONE 159 C	53.223	44.013	57.730
94	PANTONE 160 C	44.083	32.053	45.686
95	PANTONE 161 C	29.859	16.126	26.435
96	PANTONE 1555 C	83.938	20.695	24.088
97	PANTONE 1565 C	78.838	30.824	35.294
98	PANTONE 1575 C	71.600	45.498	53.778
99	PANTONE 1585 C	66.059	55.690	66.477
100	PANTONE 1595 C	56.022	46.952	58.199
101	PANTONE 1605 C	45.009	32.850	42.270
102	PANTONE 1615 C	37.906	27.669	34.968
103	PANTONE 162 C	84.111	20.698	21.337
104	PANTONE 163 C	76.342	36.546	37.740
105	PANTONE 164 C	70.040	49.522	53.961
106	PANTONE 165 C	64.356	59.829	68.280
107	PANTONE 166 C	56.286	55.284	65.020
108	PANTONE 167 C	49.586	43.749	51.897
109	PANTONE 168 C	29.710	26.412	29.286
110	PANTONE 1625 C	77.905	35.249	26.028
111	PANTONE 1635 C	73.568	43.827	34.858
112	PANTONE 1645 C	66.593	56.954	52.290
