PANTONE Matte
1	PANTONE Yellow 012 M	88.276	3.241	108.830
2	PANTONE Process Yellow M	90.666	-4.553	100.220
3	PANTONE Process Magenta M	47.710	72.907	2.000
4	PANTONE Process Cyan M	61.147	-30.049	-46.421
5	PANTONE Process Black M	15.768	0.670	-0.043
6	PANTONE Hexachrome Yellow M	90.727	-0.606	100.092
7	PANTONE Hexachrome Orange M	69.319	54.396	76.202
8	PANTONE Hexachrome Magenta M	51.375	79.023	-13.577
9	PANTONE Hexachrome Cyan M	53.197	-29.865	-51.410
10	PANTONE Hexachrome Green M	59.361	-73.308	32.880
11	PANTONE Hexachrome Black M	21.257	0.854	0.485
12	PANTONE 100 M	92.216	-7.906	49.287
13	PANTONE 101 M	91.747	-8.637	66.743
14	PANTONE 102 M	90.519	-6.553	98.622
15	PANTONE Yellow M	89.405	-3.127	108.137
16	PANTONE 103 M	70.333	-1.629	83.571
17	PANTONE 104 M	63.080	-2.237	65.839
18	PANTONE 105 M	50.932	-2.268	36.128
19	PANTONE 106 M	90.637	-5.296	66.094
20	PANTONE 107 M	89.372	-2.851	80.078
21	PANTONE 108 M	87.356	2.299	92.062
22	PANTONE 109 M	86.632	5.238	88.097
23	PANTONE 110 M	73.056	6.445	85.287
24	PANTONE 111 M	60.737	2.359	65.221
25	PANTONE 112 M	54.729	0.627	51.254
26	PANTONE 113 M	89.660	-2.203	65.102
27	PANTONE 114 M	88.779	-0.313	69.944
28	PANTONE 115 M	88.335	1.923	70.975
29	PANTONE 116 M	86.070	7.515	79.520
30	PANTONE 117 M	67.313	8.408	73.267
31	PANTONE 118 M	60.025	5.908	64.116
32	PANTONE 119 M	49.786	0.417	36.880
33	PANTONE 120 M	89.268	0.629	50.719
34	PANTONE 121 M	88.752	2.510	54.638
35	PANTONE 122 M	86.961	6.640	62.035
36	PANTONE 123 M	85.363	10.797	67.312
37	PANTONE 124 M	76.770	14.465	70.760
38	PANTONE 125 M	62.752	9.541	58.969
39	PANTONE 126 M	56.976	5.618	47.727
40	PANTONE 1205 M	91.519	-0.027	33.830
41	PANTONE 1215 M	90.333	1.628	40.873
42	PANTONE 1225 M	86.041	11.889	57.870
43	PANTONE 1235 M	83.121	18.621	64.310
44	PANTONE 1245 M	68.033	10.842	51.161
45	PANTONE 1255 M	60.222	7.457	42.098
46	PANTONE 1265 M	52.764	4.250	32.123
47	PANTONE 127 M	89.591	-2.552	49.790
48	PANTONE 128 M	88.279	-0.729	56.070
49	PANTONE 129 M	87.108	2.672	56.970
50	PANTONE 130 M	78.419	16.823	72.109
51	PANTONE 131 M	67.451	16.563	68.513
52	PANTONE 132 M	55.897	9.117	53.785
53	PANTONE 133 M	45.174	2.324	32.113
54	PANTONE 134 M	87.808	6.587	47.380
55	PANTONE 135 M	86.208	11.713	52.818
56	PANTONE 136 M	84.723	15.767	55.609
57	PANTONE 137 M	78.511	29.108	69.423
58	PANTONE 138 M	66.758	31.042	68.213
59	PANTONE 139 M	57.049	18.314	52.290
60	PANTONE 140 M	45.900	7.032	31.132
61	PANTONE 1345 M	86.856	10.888	38.772
62	PANTONE 1355 M	86.260	13.342	41.039
63	PANTONE 1365 M	82.636	21.358	50.597
64	PANTONE 1375 M	77.187	33.431	59.496
65	PANTONE 1385 M	62.960	30.193	58.035
66	PANTONE 1395 M	49.703	17.112	39.987
67	PANTONE 1405 M	41.073	8.637	25.872
68	PANTONE 141 M	83.499	7.302	52.095
69	PANTONE 142 M	81.110	11.591	55.775
70	PANTONE 143 M	77.224	18.726	60.170
71	PANTONE 144 M	67.519	36.010	66.004
72	PANTONE 145 M	59.668	28.922	58.409
73	PANTONE 146 M	48.716	18.035	45.509
74	PANTONE 147 M	45.485	2.953	22.893
75	PANTONE 148 M	86.517	12.276	33.667
76	PANTONE 149 M	84.497	16.817	39.537
77	PANTONE 150 M	79.652	28.194	50.933
78	PANTONE 151 M	69.363	49.289	68.389
79	PANTONE 152 M	62.980	40.484	60.108
80	PANTONE 153 M	56.392	26.950	46.115
81	PANTONE 154 M	46.722	20.715	37.534
82	PANTONE 1485 M	81.575	27.228	41.550
83	PANTONE 1495 M	75.079	41.056	60.209
84	PANTONE 1505 M	67.683	55.953	79.602
85	PANTONE Orange 021 M	62.819	62.587	75.705
86	PANTONE 1525 M	48.873	43.241	53.251
87	PANTONE 1535 M	39.434	26.256	34.314
88	PANTONE 1545 M	25.484	11.207	16.279
89	PANTONE 155 M	86.639	5.718	25.680
90	PANTONE 156 M	81.139	13.661	35.360
91	PANTONE 157 M	72.965	27.511	45.485
92	PANTONE 158 M	63.879	42.786	51.816
93	PANTONE 159 M	54.637	39.086	47.705
94	PANTONE 160 M	45.888	26.169	36.882
95	PANTONE 161 M	31.834	11.680	20.582
96	PANTONE 1555 M	84.794	20.192	23.048
97	PANTONE 1565 M	80.979	28.211	30.840
98	PANTONE 1575 M	73.331	43.061	46.647
99	PANTONE 1585 M	69.115	50.726	55.053
100	PANTONE 1595 M	59.346	41.564	47.192
101	PANTONE 1605 M	49.585	27.156	33.040
102	PANTONE 1615 M	45.076	22.138	27.809
103	PANTONE 162 M	84.222	20.833	21.056
104	PANTONE 163 M	77.280	35.668	35.044
105	PANTONE 164 M	71.504	46.904	46.867
106	PANTONE 165 M	67.049	54.917	56.837
107	PANTONE 166 M	59.301	50.258	53.095
108	PANTONE 167 M	53.563	38.316	41.575
109	PANTONE 168 M	37.558	22.085	24.755
110	PANTONE 1625 M	78.245	35.234	25.744
111	PANTONE 1635 M	74.418	42.920	32.999
112	PANTONE 1645 M	67.537	55.524	47.567
113	PANTONE 1655 M	64.377	59.559	54.440
114	PANTONE 1665 M	58.134	52.520	48.413
115	PANTONE 1675 M	45.887	35.652	33.123
116	PANTONE 1685 M	42.409	26.508	24.960
117	PANTONE 169 M	82.630	27.468	12.084
118	PANTONE 170 M	73.739	45.492	27.011
119	PANTONE 171 M	65.948	59.025	43.299
120	PANTONE 172 M	62.905	61.481	50.729
121	PANTONE 173 M	56.106	48.274	38.764
122	PANTONE 174 M	45.833	33.605	26.840
123	PANTONE 175 M	39.508	19.385	15.503
124	PANTONE 176 M	81.907	31.738	4.433
125	PANTONE 177 M	73.535	48.369	15.330
126	PANTONE 178 M	65.643	61.416	29.830
127	PANTONE Warm Red M	61.867	64.047	41.701
128	PANTONE 179 M	54.889	59.372	37.111
129	PANTONE 180 M	47.848	48.522	28.415
130	PANTONE 181 M	36.208	30.289	16.204
131	PANTONE 1765 M	79.121	36.409	3.329
132	PANTONE 1775 M	73.773	46.056	8.768
133	PANTONE 1785 M	60.656	66.061	27.723
134	PANTONE 1788 M	56.770	67.754	38.273
135	PANTONE 1795 M	49.780	60.033	34.328
136	PANTONE 1805 M	44.224	46.485	24.200
137	PANTONE 1815 M	35.985	31.155	15.810
138	PANTONE 1767 M	81.168	29.406	-0.586
139	PANTONE 1777 M	64.999	59.653	14.245
140	PANTONE 1787 M	58.106	70.127	27.859
141	PANTONE Red 032 M	57.603	66.572	38.093
142	PANTONE 1797 M	50.066	53.309	29.011
143	PANTONE 1807 M	41.636	38.902	18.183
144	PANTONE 1817 M	30.981	17.451	7.809
145	PANTONE 182 M	84.539	24.215	-2.867
